district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_computed,mission_count_fire_timegoal_computed,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_median,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_median,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_median,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_median,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_median,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_median,response_time_technical_rescue_std,source_year,planning_room_id,planning_room_name,prediction_area_id,prediction_area_name
33004.0,Karow,1595,1493,1243,25,32,39,1008,9,541,8,630.61,582.5,224.81,577.29,502.0,212.36,706.05,650.5,209.95,890.86,841.5,182.32,825.1,837.66,91.31,812.62,735.0,389.3,2020,,,,
33005.0,Blankenburg/Heinersdorf/Märchenland,2008,1848,1525,37,71,65,1354,14,606,11,674.38,624.0,212.59,597.63,583.0,179.6,575.72,571.0,121.42,683.52,622.0,177.07,911.65,707.17,591.12,841.11,738.5,269.26,2020,,,,
34006.0,Schönholz/Wilhelmsruh/Rosenthal,1922,1776,1457,31,54,69,1262,17,332,14,723.95,694.0,198.99,592.43,616.5,128.79,645.68,629.0,168.04,791.0,761.0,184.32,903.69,804.09,415.02,886.42,788.0,336.41,2020,,,,
34007.0,Pankow Zentrum,4131,3575,2951,53,104,130,2635,24,1233,20,658.87,617.0,224.39,525.21,521.0,96.62,556.58,543.0,116.35,718.6,650.0,184.25,737.0,690.27,145.35,811.45,723.0,367.52,2020,,,,
34008.0,Pankow Süd,3580,3319,2749,56,131,99,2445,35,1161,27,643.75,610.0,191.05,543.78,544.0,133.32,647.83,595.0,234.05,765.11,720.0,182.33,792.32,773.95,172.89,922.06,906.0,386.68,2020,,,,
35009.0,Weißensee,3812,3177,2643,59,102,186,2362,35,1375,28,602.43,568.0,196.01,471.55,467.0,86.91,547.69,531.0,173.03,622.91,604.0,160.72,795.53,733.08,190.56,717.55,677.0,248.01,2020,,,,
35010.0,Weißensee Ost,2211,1843,1538,31,53,44,1379,22,790,19,610.03,572.0,193.31,485.42,468.0,83.02,582.87,557.0,144.67,589.11,569.0,146.11,762.03,727.86,131.19,691.25,583.0,262.04,2020,,,,
36011.0,Prenzlauer Berg Nordwest,2568,2308,1943,41,113,109,1726,28,848,23,629.83,603.0,194.31,510.28,530.0,104.4,630.92,610.0,176.13,735.9,659.0,244.7,795.03,729.49,235.77,922.96,737.0,430.8,2020,,,,
36012.0,Prenzlauer Berg Nord,2549,2309,1955,32,101,108,1754,33,965,26,613.83,584.0,186.97,554.28,534.0,103.48,601.61,592.5,102.97,724.19,668.0,204.54,833.1,779.17,211.51,918.27,794.0,387.84,2020,,,,
36013.0,Helmholtzplatz,1341,1177,966,18,76,66,862,25,500,22,588.11,562.0,163.42,528.15,546.0,107.88,539.69,522.5,91.28,634.45,569.0,184.47,735.46,740.55,108.11,930.37,968.0,370.55,2020,,,,
36014.0,Prenzlauer Berg Ost,4122,3813,3241,67,145,137,2907,34,1546,31,614.91,590.0,172.72,526.79,518.0,122.98,614.77,611.5,119.65,734.41,694.0,162.98,758.96,740.42,127.42,905.04,895.5,310.03,2020,,,,
37015.0,Prenzlauer Berg Südwest,1873,1668,1378,10,89,86,1218,33,794,32,565.37,537.0,181.06,389.25,385.0,86.3,531.1,520.0,94.01,606.04,581.0,147.95,702.31,711.25,87.95,1025.32,1138.5,448.5,2020,,,,
37016.0,Prenzlauer Berg Süd,2255,2058,1683,40,78,83,1523,32,922,31,598.23,569.0,173.52,535.38,536.5,95.6,593.45,585.0,111.62,771.1,702.0,213.01,698.51,666.04,102.42,891.31,794.0,344.18,2020,,,,
41001.0,Charlottenburg Nord,2930,2681,2171,43,95,113,1967,28,1116,19,608.85,571.0,203.59,493.21,450.0,113.49,609.58,596.5,164.13,846.35,823.0,191.55,847.12,819.82,120.37,735.17,652.5,342.32,2020,,,,
42002.0,Heerstraße,1826,1527,1297,32,64,72,1176,16,314,10,721.8,686.0,208.85,622.69,582.0,186.48,791.03,718.5,226.87,874.7,789.5,223.51,873.47,818.74,197.69,1004.97,983.5,290.46,2020,,,,
42003.0,Westend,4243,3462,2884,74,157,192,2614,34,1541,30,596.84,567.0,187.46,508.82,497.5,120.85,610.1,580.0,154.47,726.12,705.0,166.43,777.7,777.05,123.26,817.53,739.5,300.38,2020,,,,
43004.0,Schloss Charlottenburg,5039,4383,3679,65,153,225,3346,49,2372,42,540.0,500.0,194.07,411.51,394.0,90.48,552.82,514.0,168.96,699.05,682.5,222.88,750.74,729.63,156.92,740.69,671.5,325.39,2020,,,,
43005.0,Mierendorffplatz,1707,1520,1256,17,77,102,1148,27,822,24,563.84,527.0,168.47,439.2,444.0,54.06,601.93,555.5,215.92,710.29,664.0,223.55,702.75,686.5,128.18,765.45,696.0,287.1,2020,,,,
43006.0,Otto-Suhr-Allee/Kantstraße,6450,5841,4878,131,286,265,4384,133,3203,123,547.02,509.0,179.56,452.46,452.0,83.22,564.35,542.5,131.7,667.19,649.5,128.35,718.71,694.36,151.63,792.4,744.5,300.39,2020,,,,
44007.0,Grunewald,2379,1948,1663,40,79,110,1508,18,592,15,660.24,639.5,183.37,569.09,538.0,123.61,709.31,613.0,260.86,813.89,763.0,224.79,831.37,735.47,265.0,982.55,968.0,311.96,2020,,,,
44008.0,Schmargendorf,3717,3488,2885,61,92,99,2593,28,1236,24,633.35,607.0,170.27,564.11,549.5,115.7,657.27,628.0,151.36,701.83,693.5,121.91,795.31,799.29,124.41,956.08,957.0,300.97,2020,,,,
45009.0,Halensee,3141,2886,2426,65,88,127,2175,40,1473,36,568.31,527.0,179.37,532.59,487.0,147.18,549.25,517.0,121.42,678.54,629.0,200.19,734.16,702.14,220.94,828.44,756.0,318.27,2020,,,,
45010.0,Lietzenburger Straße,6511,5888,5003,130,332,237,4443,145,3152,129,545.22,513.0,177.24,465.88,467.0,88.48,563.18,541.0,159.27,676.23,658.0,149.06,750.26,724.11,268.54,748.99,640.0,304.25,2020,,,,
45011.0,Volkspark Wilmersdorf,5630,4863,4081,94,168,200,3636,62,2655,58,538.72,499.0,178.41,458.64,456.5,97.23,511.11,491.0,132.95,632.05,607.0,160.26,703.6,688.31,126.18,845.25,671.0,400.68,2020,,,,
51001.0,Hakenfelde,3319,3002,2494,57,107,100,2264,33,1025,14,671.65,617.5,215.05,580.69,562.0,122.15,694.68,659.5,163.18,786.94,722.0,178.94,980.63,954.87,196.35,1008.68,959.5,317.79,2020,,,,
51002.0,Falkenhagener Feld,5533,4803,3958,95,148,168,3547,34,2008,24,614.69,579.0,176.23,561.44,537.0,131.76,687.28,659.5,175.74,855.32,803.0,253.33,920.97,787.69,412.67,882.5,756.0,332.08,2020,,,,
51003.0,Spandau Mitte,6126,5425,4549,96,171,205,4139,38,2767,35,563.29,528.0,183.98,485.18,464.5,108.75,592.68,551.0,177.77,633.18,596.5,166.28,744.97,715.95,127.45,896.65,817.0,366.93,2020,,,,
52004.0,Brunsbütteler Damm,2589,2379,1945,58,102,76,1710,31,669,19,675.96,647.0,207.77,592.15,613.0,134.54,755.92,731.0,130.02,857.2,832.0,133.74,883.08,833.43,169.75,1002.31,1006.5,238.65,2020,,,,
52005.0,Heerstraße,4205,3885,3189,54,122,160,2817,51,862,38,684.35,654.0,171.14,599.26,582.0,119.01,718.42,700.0,107.51,744.39,722.5,97.7,882.59,842.74,169.17,971.72,914.5,306.0,2020,,,,
52006.0,Wilhelmstadt,5324,4907,4118,88,134,225,3690,40,2673,32,554.56,514.0,191.29,465.11,433.5,130.47,567.7,567.0,125.28,661.01,624.5,163.43,795.13,724.69,241.22,890.78,766.0,386.08,2020,,,,
53007.0,Haselhorst,2170,1989,1656,32,70,90,1491,32,819,21,603.76,575.0,214.07,490.83,480.0,154.56,719.39,680.5,200.71,790.94,781.0,153.34,844.97,818.72,126.66,925.73,912.0,341.29,2020,,,,
53008.0,Siemensstadt,1797,1590,1322,34,102,85,1206,42,800,31,575.9,518.5,197.32,460.83,442.0,90.13,688.7,647.5,218.74,839.17,832.0,196.47,903.94,863.83,164.42,750.69,654.5,291.02,2020,,,,
54009.0,Gatow/Kladow,1867,1461,1213,32,58,78,937,10,480,0,647.89,596.0,230.69,587.39,556.0,178.77,694.88,734.0,176.17,1035.95,1079.0,129.82,1501.83,1110.12,923.27,1014.21,931.0,395.98,2020,,,,
61001.0,Schloßstraße,2761,2533,2071,50,116,98,1849,46,1146,35,577.37,548.0,170.87,502.54,488.0,99.9,576.93,548.0,153.21,727.34,724.0,147.09,876.73,790.92,319.97,907.29,744.0,392.07,2020,,,,
61002.0,Albrechtstraße,4801,4465,3643,99,125,162,3221,24,2068,22,569.11,544.0,177.71,466.1,461.0,106.51,589.74,573.5,159.63,727.78,695.0,198.45,777.2,760.4,177.8,825.23,709.0,352.94,2020,,,,
62003.0,Lankwitz,4785,4342,3607,90,105,123,3202,17,1891,12,606.18,571.0,179.92,543.81,516.0,132.89,694.56,651.5,193.98,768.6,737.5,163.56,893.72,804.83,208.56,828.28,764.0,276.92,2020,,,,
62004.0,Ostpreußendamm,4149,3746,3114,79,81,119,2723,23,1218,12,648.6,622.0,197.98,544.56,564.0,115.17,672.77,627.5,177.97,804.95,781.0,235.46,934.79,868.46,185.6,789.93,725.0,284.1,2020,,,,
63005.0,Teltower Damm,3695,3219,2761,74,78,130,2437,7,1090,4,669.27,626.0,225.93,546.78,538.5,117.49,661.31,616.0,210.78,657.18,652.0,123.35,848.73,826.88,116.63,727.46,646.5,311.94,2020,,,,
63006.0,Drakestraße,4756,3984,3262,96,135,131,2902,49,1545,35,629.68,590.0,187.97,540.64,555.0,86.27,634.64,602.0,149.43,735.7,706.5,155.97,834.27,780.25,255.18,824.34,723.0,316.28,2020,,,,
64007.0,Zehlendorf Südwest,3517,2853,2426,55,127,166,2060,16,882,7,679.05,624.0,234.68,588.03,552.0,102.77,702.93,644.0,261.07,1026.71,928.0,341.41,1095.82,997.23,336.2,788.51,741.5,291.08,2020,,,,
64008.0,Zehlendorf Nord,4275,3739,3180,82,162,147,2854,46,1249,34,668.55,629.0,216.16,553.78,518.0,210.5,694.58,652.0,192.63,748.38,720.0,161.73,834.73,805.37,152.39,856.86,776.0,355.49,2020,,,,
71001.0,Schöneberg Nordwest,3854,3562,2960,71,111,147,2661,56,1824,54,564.55,535.0,161.81,482.43,469.5,79.7,598.2,588.0,157.36,716.28,688.0,184.59,766.53,715.29,350.16,792.27,725.5,275.13,2020,,,,
71002.0,Schöneberg Nordost,2406,2211,1812,38,84,79,1633,37,1173,36,561.83,520.0,170.98,498.61,472.0,88.94,534.12,523.5,82.04,676.8,632.0,185.94,694.18,686.74,89.13,794.96,714.0,291.63,2020,,,,
72003.0,Schöneberg Südwest,2179,1980,1638,35,69,99,1449,31,1103,27,538.88,507.0,161.34,488.54,448.0,153.1,562.48,525.0,142.36,642.32,587.0,177.79,715.71,653.93,191.57,867.92,775.0,333.04,2020,,,,
72004.0,Schöneberg Südost,3353,3048,2570,48,121,148,2293,51,1719,45,526.97,487.0,182.41,459.64,453.0,129.24,557.33,523.0,182.65,672.29,655.0,143.95,749.78,705.51,179.13,799.41,687.5,360.0,2020,,,,
73005.0,Friedenau West,1964,1802,1490,30,55,90,1334,20,907,19,558.96,529.0,169.32,500.91,511.0,114.7,607.24,591.0,104.0,729.83,705.0,195.72,746.67,761.69,99.12,826.27,757.0,317.89,2020,,,,
73006.0,Friedenau Ost,2464,1727,1402,38,85,86,1259,36,818,34,584.26,545.0,188.74,499.91,469.5,114.15,586.34,562.0,135.7,647.36,621.0,111.53,706.24,679.76,103.73,875.94,878.0,339.88,2020,,,,
74007.0,Tempelhof Nord,2616,1887,1602,35,68,62,1462,16,965,11,583.08,533.0,205.81,481.46,475.0,82.85,636.03,601.5,157.85,706.34,690.0,142.73,815.89,766.52,168.86,874.17,785.5,341.24,2020,,,,
74008.0,Tempelhof Südwest,3856,3568,2938,70,118,140,2667,40,1776,34,558.5,525.0,180.79,452.3,451.0,103.2,605.89,575.0,135.61,746.27,721.0,184.74,836.5,764.17,325.1,947.92,845.5,415.77,2020,,,,
74009.0,Tempelhof Südost,2598,2051,1680,42,99,126,1534,39,1010,31,558.65,528.5,184.35,466.65,427.0,130.04,606.48,582.0,156.54,709.95,707.0,121.36,772.33,746.56,151.57,958.28,844.0,395.57,2020,,,,
75010.0,Mariendorf Nord,3743,3509,2918,72,85,110,2630,21,1668,18,580.53,546.0,181.39,491.03,478.0,110.13,622.33,595.0,125.3,731.66,695.0,123.7,793.77,771.83,127.48,967.73,810.5,413.08,2020,,,,
75011.0,Mariendorf Süd,2805,2627,2202,48,70,79,2000,9,1308,7,575.22,534.0,185.59,454.78,443.0,93.4,627.64,557.0,213.77,751.13,661.0,332.47,784.19,737.23,141.69,767.78,615.5,377.4,2020,,,,
76012.0,Marienfelde Nord,1999,1849,1496,32,78,59,1319,19,787,5,608.58,564.0,193.75,524.15,516.5,161.07,737.51,602.0,306.44,878.55,857.5,200.03,1034.68,1001.91,267.26,807.1,749.5,308.18,2020,,,,
76013.0,Marienfelde Süd,2089,1926,1599,44,66,66,1434,27,707,8,641.32,602.5,178.41,553.69,553.0,111.57,766.02,749.0,170.98,850.4,818.0,152.45,970.19,952.54,171.95,865.91,806.0,295.06,2020,,,,
76014.0,Lichtenrade Nord,1975,1872,1526,36,35,51,1326,5,597,2,652.72,620.5,200.19,596.44,579.5,148.57,660.11,667.5,120.23,906.0,890.5,245.32,1027.76,944.77,263.61,910.03,837.5,290.11,2020,,,,
76015.0,Lichtenrade Süd,3324,3130,2593,70,77,82,2163,18,1004,4,660.51,617.0,221.09,592.73,581.0,151.86,694.47,702.0,137.42,913.6,872.5,144.86,1071.64,970.29,253.08,953.74,917.5,273.34,2020,,,,
81001.0,Schillerpromenade,4148,3812,3193,62,144,146,2884,58,1866,54,572.86,536.0,195.74,442.77,424.0,104.8,563.69,532.5,166.42,630.32,572.0,193.43,706.51,692.08,110.05,862.97,759.5,367.62,2020,,,,
81002.0,Neuköllner Mitte/Zentrum,5392,4877,3954,89,250,198,3588,103,2371,86,558.74,520.0,208.8,427.38,398.5,118.9,521.28,504.0,132.84,587.99,550.0,187.44,759.09,734.24,174.12,823.73,685.5,396.86,2020,,,,
81003.0,Reuterstraße,4660,4225,3480,84,202,182,3107,63,1957,57,595.1,555.0,178.18,457.72,468.0,78.34,563.46,544.0,146.03,683.72,646.0,160.87,729.79,689.74,158.63,888.24,785.5,360.7,2020,,,,
81004.0,Rixdorf,4796,4428,3643,84,168,158,3299,56,1908,52,593.75,570.0,188.63,463.7,467.0,91.07,587.61,575.0,127.45,629.28,624.0,159.71,752.93,725.34,177.4,920.53,949.0,354.77,2020,,,,
81005.0,Köllnische Heide,2466,2239,1805,36,90,102,1682,24,754,21,649.58,614.5,171.14,559.1,548.0,99.24,592.77,573.0,120.44,655.67,606.0,180.09,774.2,727.08,174.76,882.83,832.0,293.44,2020,,,,
82006.0,Britz Nord,2867,2606,2156,57,133,100,1952,36,1196,29,597.16,553.0,185.6,510.67,492.0,167.31,583.74,574.0,144.06,686.86,633.5,221.51,792.03,778.43,172.68,878.81,684.0,424.27,2020,,,,
82007.0,Britz,3283,3049,2582,67,96,98,2366,27,1248,22,621.91,587.0,190.21,494.41,502.0,89.45,633.36,599.5,167.15,781.86,700.0,249.62,804.73,780.03,157.46,918.66,825.5,336.56,2020,,,,
82008.0,Buckow,2923,2740,2262,51,69,76,2030,16,801,9,673.21,637.0,179.73,549.41,560.0,113.69,726.41,700.0,180.0,874.04,838.5,213.21,917.93,878.51,128.23,856.85,806.5,279.4,2020,,,,
83009.0,Gropiusstadt West,2720,2559,2050,60,80,61,1811,24,1089,17,600.25,532.0,226.26,459.15,442.5,91.47,690.57,675.5,276.64,839.26,802.0,211.7,867.69,857.1,108.51,665.73,547.5,258.53,2020,,,,
83010.0,Gropiusstadt Ost,2648,2490,1972,41,86,48,1793,17,1075,16,611.58,560.0,205.99,534.06,524.0,147.93,582.34,547.5,124.35,827.23,823.0,127.35,805.01,807.22,61.77,873.0,783.5,383.45,2020,,,,
84011.0,Buckow Nord,2097,1153,929,28,53,36,844,36,554,30,562.73,508.0,220.74,425.5,418.5,87.33,601.25,593.0,145.43,698.09,662.5,165.35,785.2,780.16,111.24,731.11,686.0,337.86,2020,,,,
84012.0,Rudow,4567,4300,3491,105,108,107,3053,31,1709,24,613.04,574.0,196.7,530.38,528.5,123.25,620.58,600.5,167.78,796.34,786.5,136.68,812.35,782.2,166.12,819.84,778.0,327.37,2020,,,,
91001.0,Alt-Treptow,1695,1543,1351,26,75,58,1215,20,570,18,644.22,612.0,178.98,531.96,494.0,153.75,644.05,600.0,145.15,750.83,710.0,184.62,745.79,726.64,127.84,1079.12,1105.0,358.48,2020,,,,
91002.0,Plänterwald,1439,1311,1097,25,55,54,1019,30,201,22,712.12,684.0,164.99,648.18,652.5,67.76,677.54,648.0,121.26,744.03,714.5,129.75,815.38,771.79,179.76,1031.4,1007.0,248.56,2020,,,,
91003.0,Baumschulenweg,2583,2409,1977,49,58,82,1818,18,834,15,650.24,612.0,186.5,549.31,523.5,94.1,581.47,569.0,121.87,732.0,727.0,149.61,742.67,741.86,131.59,840.92,754.0,319.56,2020,,,,
91004.0,Johannisthal,2440,2271,1891,45,85,66,1709,18,1076,18,581.16,546.0,191.08,466.67,457.0,105.72,562.11,514.0,216.91,681.48,615.5,294.85,649.86,675.9,95.0,685.25,584.0,270.57,2020,,,,
92005.0,Oberschöneweide,3112,2854,2333,54,106,110,2118,26,979,21,653.61,613.5,193.91,569.65,521.0,154.14,677.06,645.0,202.5,696.91,660.5,136.1,785.84,770.18,170.03,804.88,733.0,312.95,2020,,,,
92006.0,Niederschöneweide,2183,2036,1711,36,49,73,1566,9,827,8,619.02,588.5,189.99,491.12,433.5,128.34,603.95,605.0,173.11,704.2,671.5,219.03,711.89,743.56,125.51,742.12,698.0,218.17,2020,,,,
92007.0,Adlershof,2444,2232,1838,24,94,94,1655,35,771,28,628.45,611.0,167.26,546.2,558.5,83.69,592.75,602.5,78.56,683.63,667.0,98.64,787.4,766.43,161.71,816.7,788.0,211.43,2020,,,,
92008.0,Köllnische Vorstadt/Spindlersfeld,1252,1150,979,18,33,50,874,7,539,5,593.85,560.5,183.37,522.93,525.0,148.4,611.52,561.0,245.84,766.78,705.0,316.11,838.8,796.83,205.37,728.53,666.0,251.11,2020,,,,
93009.0,Altglienicke,2753,2581,2093,52,67,69,1806,16,660,9,685.57,653.0,198.91,604.23,618.5,119.4,685.12,675.0,193.47,964.52,936.0,194.72,894.43,873.99,133.05,854.7,801.0,309.18,2020,,,,
93010.0,Bohnsdorf,1616,1246,1029,29,48,43,863,12,419,2,641.95,609.0,210.5,547.0,495.0,182.29,788.94,702.5,238.77,927.91,915.0,164.9,1054.9,993.1,179.94,895.18,943.0,168.06,2020,,,,
93011.0,Grünau,849,792,665,19,18,33,595,4,328,1,621.18,584.0,188.61,612.08,548.0,220.63,694.11,659.0,103.69,801.62,810.0,165.81,1068.02,962.13,275.3,862.73,780.5,275.82,2020,,,,
93012.0,Schmöckwitz,499,450,371,5,12,33,303,2,36,0,843.15,827.0,237.15,767.0,767.0,91.92,835.43,891.0,130.88,996.5,996.5,53.03,998.92,998.92,10.16,993.11,903.0,460.66,2020,,,,
94013.0,Köpenick Süd,1417,1330,1111,20,25,49,982,5,264,3,716.29,690.0,190.35,638.73,661.0,83.98,928.83,812.5,266.91,889.67,818.5,310.67,934.27,838.48,269.7,1080.27,959.0,386.0,2020,,,,
94014.0,Allende-Viertel,1970,1577,1335,36,35,28,1191,6,592,3,627.06,603.0,206.41,538.65,530.0,136.11,752.33,730.0,100.17,821.52,770.0,158.56,946.7,910.99,205.68,1041.17,980.0,410.76,2020,,,,
94015.0,Altstadt Köpenick,1029,969,802,6,19,29,730,3,425,2,604.78,571.0,175.57,514.67,504.0,96.23,634.78,609.0,106.08,661.58,601.0,146.99,818.56,776.0,114.17,923.39,813.0,310.09,2020,,,,
94016.0,Müggelheim,593,546,440,14,16,28,350,5,123,0,757.12,718.5,263.18,621.0,529.5,192.92,786.67,776.0,135.11,1148.0,1145.0,148.09,1566.42,1622.38,264.12,864.92,752.0,478.45,2020,,,,
95017.0,Friedrichshagen,2433,2311,1952,44,43,60,1640,5,767,0,643.49,615.0,215.11,572.64,569.0,183.13,700.83,728.0,190.76,1069.86,1031.0,277.74,1125.25,1065.98,114.9,890.94,858.0,342.69,2020,,,,
95018.0,Rahnsdorf,956,878,740,29,27,33,545,4,262,0,675.52,606.0,255.39,584.14,522.5,238.6,769.71,748.5,178.75,1300.83,1271.5,80.6,1478.24,1352.42,411.87,727.52,697.0,181.81,2020,,,,
95019.0,Dammvorstadt,1687,1546,1292,33,45,85,1123,10,412,3,671.93,640.0,172.8,575.7,598.0,154.6,810.0,773.0,147.24,867.33,801.0,199.92,1116.83,1005.41,319.52,1030.11,932.0,359.43,2020,,,,
95020.0,Köpenick Nord,1549,1470,1234,27,28,38,1122,5,95,0,787.18,758.5,184.91,712.92,718.0,202.16,865.08,824.5,115.97,1000.0,949.0,248.68,1218.21,1272.49,238.37,1104.12,1059.0,319.3,2020,,,,
101001.0,Marzahn Nord,3001,2820,2311,55,82,68,2052,18,490,5,716.04,691.0,181.0,603.7,592.5,136.1,722.6,775.5,157.8,856.62,800.0,168.13,1020.0,992.29,218.42,959.36,935.5,268.09,2020,,,,
